References,Qty,Description,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Digikey,Mouser,RS,Newark,Farnell
"C1, C6",2,2n2 (Y2),,VY2222M31Y5VS63V7,,CY2Y-2N2,,,,,,,,,
"C17, C18",2,100n,,C0603C104K4RAC7081,,490-4774-1-ND,,VJ0603Y104KXJAT,,CL10B104KA8NNNC,,,,,
"C2, C3, C4",3,100n (X2),,R46KI310000M1M,,399-6806-ND,,F863BC104K310Z,,R46KI310000M1M,,,,,
C5,1,47n/400V (X2),,B32921C3473K000,,399-11478-ND,,B32921C3473M000,,MKP-X2-47NR10/310,,,,,
"C7, C10, C11, C15, C16",5,1u,,VJ0805Y105KXXTW1BC,,587-1283-1-ND,,C0805C105K4RACTU,,CL21B105KOFNNNE,,,,,
"C8, C9, C14",3,EEEFK1V470P,,EEEFK1V470P,,PCE3842CT-ND,,EEEFK1V470P,,EEEFK1V470P,,,,,
"D2, D3",2,BAS316,,"BAS316,115",,1727-7370-1-ND,,"BAS316,115",,"BAS316,115",,,,,
D5,1,SKL14,,PMEG4010EGWX,,1727-7335-1-ND,,PMEG4010EGWX,,SKL14-DIO,,,,,
IC1,1,BD00FC0WFP-E2,,BD00FC0WFP-E2,,BD00FC0WFP-E2CT-ND,,BD00FC0WFP-E2,,-,,,,,
IC2,1,MAX31760AEE+,,MAX31760AEE+,,MAX31760AEE+-ND,,-,,,,,,,
J1,1,PF0030/PC,,PF0030/PC,,708-1914-ND,,PF0030/PC,,PF0030/PC,,,,,
"J2, J3",2,1-726388-2,,1-726388-2,,A121493-ND,,1-726388-2,,61-3162-11/0030,,,,,
J4,1,SWEB 8094 AU/GN,,-,,SWEB 8094 AU/GN,,,,,,,,,
"K1, K2",2,RT424005,,RT424005,,PB1998-ND,,RT424005,,,,,,,
L1,1,2200HT-221-V-RC,,2200HT-221-V-RC,,2200HT-221-V-RC-ND,,-,,,,,,,
L2,1,RN222-4-02-3M3,,RN222-4-02-3M3,,817-2209-ND,,RN222-4-02-3M3,,-,,,,,
"L3, L4",2,VLS6045AF-3R3N,,IHLP2020CZER3R3M11,,445-180834-1-ND,,HPI0630-3R3,,,,,,,
LED1,1,WP934CB/YD,,754-1300-ND,,L-934CB/1YD,,,,,,,,,
NTC1,1,B57236S0200M,,B57236S0200M,,495-3047-ND,,B57236S0200,,,,,,,
"Q1, Q2",2,MMBT5551,,MMBT5551LT1G,,MMBT5551LT1GOSCT-ND,,MMBT5551LT1G,,MMBT5551,,,,,
Q3,1,2N7002,,2N7002-7-F,,2N7002LT1GOSCT-ND,,2N7002LT1G,,2N7002LT1G,,,,,
"R1, R2",2,470K,,MCWR12X4703FTL,,CRGCQ1206F470K,,CRG1206F470K,,1206S4J0474T5E,,,,,
"R12, R15",2,4K7,,CRGCQ0805F4K7,,311-4.70KCRCT-ND,,CRG0805F4K7,,0805S8F4701T5E,,,,,
R13,1,10R,,RC1206FR-0710RL,,311-10.0CRCT-ND,,CR1206-FX-10R0ELF,,CRCW120610R0FKTABC,,,,,
"R3, R4, R10, R11, R14",5,1K,,WCR0805-1K0FI,,RC0805FR-071KL,,CRG0805F1K0,,RC0805FR-071K,,,,,
"R5, R7",2,39K,,MCWR08X3902FTL,,RMCF0805FT39K0CT-ND,,CRCW080539K0FKEA,,0805S8J0393T5E,,,,,
R6,1,470R,,WCR0805-470RFI,,311-470CRCT-ND,,CRG0805F470R,,RC0805FR-07470R,,,,,
"R8, R9",2,3K3,,MCWR08X3301FTL,,A129755CT-ND,,CRG0805F3K3,,805S8F3301T5E,,,,,
SAR1,1,2051-47-SM-RPLF,,2051-47-SM-RPLFCT-ND,,-,,,,,,,,,
SW1,1,DF62J12S2AHQA,,DF62J12S2AHQA,,CKN2062-ND,,DF62J12S2AHQA,,DF62J12S2AHQA,,,,,
TR1,1,IRM-10-5,,IRM-10-5,,1866-3032-ND,,IRM-10-5,,IRM-10-5,,,,,
TR2,1,IRM-10-12,,IRM-10-12,,1866-3028-ND,,IRM-10-12,,IRM-10-12,,,,,
"VAR1, VAR2, VAR3",3,ERZE14A431 or V275LA20AP,,ERZE11A431,,P16688-ND,,ERZE11A431,,V275LA20AP,,,,,
X1,1,39-28-1063,,39-28-1063,,WM3802-ND,,39-28-1063,,MX-5566-06A,,,,,
X2,1,39-30-1039,,39-30-1039,,WM18442-ND,,39-30-1039,,MX-5566-03A3,,,,,
X3,1,DS1013-16SSIB1,,MC-254-16-00-ST-DIP,,ED10523-ND,,61201621621,,DS1013-16SSIB,,,,,
X4, fan connector,1,22-27-2031,,22-27-2031,,WM4112-ND,,22-27-2031,,MX-6410-03A,,,,
ZD1,1,MM3Z18VT1G,,MM3Z18VT1G,,MM3Z18VT1GOSCT-ND,,MM3Z18VT1G,,MM3Z18VT1G,,,,,
