References,Qty,Description,Manufacturer,MPN,Digikey,Mouser,RS,Newark,Farnell
C1,1,100n,,C0603C104K4RAC7081,490-4774-1-ND,80C0603C104M4R,C0603C104K4RACTU,,C0603C104K4RAC7081
C2,1,1n,,VJ0805A102JXACW1BC,732-7858-1-ND,710885012007040,GRM2195C1H102JA01D,,VJ0805A102JXACW1BC
"D3, D4, D5, D6, D8, D9",6,BAS316,,"BAS316,115",1727-7370-1-ND,771BAS316T/R,"BAS316,115",,"BAS316,115"
IC1,1,TCA9534PWR,,,296-40574-1-ND,595TCA9534PWR,TCA9535PWR,,
"K1, K2, K3, K4",4,RT424005,,RT424005,PB1998-ND,655RT424005,,,RT424005
"Q1, Q2, Q3, Q4",4,2N7002,,2N7002K-7,T2N7002AKLMCT-ND,757T2N7002AKLM,2N7002,,2N7002K7
"R1, R2, R4, R5",4,100K,,MCWR08X1003FTL,RMCF0805FT100KCT-ND,71CRCW0805100KFKEAC,CRG0805F100K,,MCWR08X1003FTL
R11,1,10K,,RC0805FR-0710KL,311-10.0KCRCT-ND,603RC0805FR0710KL,CRG0805F10K,,RC0805FR0710KL
"X1, X2, X3",3,DS1021-2*10SF11,,,,6497731380220LF,,,
X5,1,DS1022-2*20RF11,,,,64968020140HLF,,,
"X4, X6, X8",3,DS1023-2*14S21,,,S7082-ND,SSQ11401TD,,,
"ZD1, ZD2, ZD3, ZD4",4,SMAJ18A,,SMAJ18A,SMAJ18A-FDICT-ND,652SMAJ18AQ,SMAJ18AE3/61,,SMAJ18A
