References,Qty,Description,Digikey,Mouser,TME
C1,1,100n,1276-1005-2-ND,187-CL10B104KO8NNNC ,CL10B104KA8NNNC
C2,1,1n,732-7858-1-ND ,710-885012007040 ,CL21C102JBCNNNC
"R1, R2, R3, R4",4,100K,RMCF0805FT100KCT-ND ,71-CRCW0805100KFKEAC,SMD0805-100K-1%
R11,1,10K,311-10.0KCRCT-ND,603-RC0805FR-0710KL,RC0805FR-0710K
"D3, D4, D5, D6, D8, D9",6,BAS316,1727-7370-1-ND,771-BAS316-T/R,"BAS316,115"
"X1, X2, X3",3,77313-802-20LF,609-77313-802-20LF-ND,649-77313-802-20LF,DS1021-2*10SF11
"X4, X6, X7",3,DS1023-2*14S21,S7082-ND ,SSQ-114-01-T-D,DS1023-2*14S21
X5,1,68020-140HLF,68020-140HLF-ND,649-68020-140HLF ,DS1022-2*20RF11
"K1, K2, K3, K4",4,RT424005,PB1998-ND,655-RT424005 ,RT424005
"Q1, Q2, Q3, Q4",4,2N7002,T2N7002AKLMCT-ND,757-T2N7002AKLM,2N7002LT1G
IC1,1,TCA9534PWR,296-40574-1-ND ,595-TCA9534PWR,TCA9534PWR
ZD1,1,MM3Z18VT1G,MM3Z18VT1GOSCT-ND,863-MM3Z18VT1G,MM3Z18VT1G
