Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "EEZ DIB BP3C r3B2.brd" as of: 29.1.2020. 15:22
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,3.765,2.585,180
C2,Top,3.495,2.250,270
D1,Top,2.178,0.460,270
D2,Top,1.300,0.460,90
D3,Top,2.212,0.630,0
D4,Top,0.830,0.630,0
D5,Top,1.302,0.630,0
D6,Top,2.715,0.630,0
D7,Top,-0.025,2.810,0
D8,Top,3.812,2.757,90
D9,Top,-0.043,0.927,270
FM1,Top,-0.079,3.465,0
FM2,Top,3.602,0.295,0
IC1,Top,3.670,2.435,0
JP1,Top,3.538,2.592,0
JP2,Top,0.360,3.045,0
JP3,Top,0.360,3.140,0
JP4,Top,0.360,2.950,180
JP5,Top,1.760,3.045,0
JP6,Top,1.760,3.140,0
JP7,Top,1.760,2.950,180
JP8,Top,3.155,3.045,0
JP9,Top,3.155,3.140,0
JP10,Top,3.155,2.945,180
LED1,Top,3.765,0.828,90
LED2,Top,3.768,0.555,90
LED3,Top,3.768,0.643,90
LED4,Top,3.765,0.915,90
LED5,Top,3.768,3.200,270
LED6,Top,3.768,3.090,270
Q1,Top,2.413,0.460,0
Q2,Top,1.067,0.460,0
Q3,Top,1.524,0.460,0
Q4,Top,2.920,0.460,0
R1,Top,2.272,0.460,90
R2,Top,0.932,0.460,90
R3,Top,3.612,0.828,180
R4,Top,1.393,0.460,90
R5,Top,2.783,0.460,90
R6,Top,3.615,0.555,180
R7,Top,3.615,0.643,180
R8,Top,3.612,0.915,180
R9,Top,3.603,3.200,0
R10,Top,3.603,3.090,0
R11,Top,3.732,2.757,90
ZD1,Top,2.428,0.630,180
ZD2,Top,1.040,0.630,180
ZD3,Top,1.518,0.630,180
ZD4,Top,2.933,0.630,180
