Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "EEZ DIB DCM220 r2B8.brd" as of: 31.1.2020. 11:34
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,5.315,0.540,0
C2,Top,5.478,1.462,0
C3,Top,5.673,1.462,0
C4,Top,5.633,2.700,90
C5,Top,5.463,2.700,270
C6,Top,5.500,1.880,180
C7,Top,2.865,0.690,180
C8,Top,2.895,0.907,270
C9,Top,5.500,1.788,180
C10,Top,5.570,1.970,0
C11,Top,5.478,2.235,180
C12,Top,5.335,2.175,270
C13,Top,5.242,2.175,270
C14,Top,5.293,2.700,270
C15,Top,5.820,1.845,270
C16,Top,5.723,2.272,0
C17,Top,3.405,0.657,270
C18,Top,3.405,0.907,270
C19,Top,5.723,2.350,0
C20,Top,3.665,0.385,0
C21,Top,5.668,2.975,0
C22,Top,5.338,2.955,90
C23,Top,5.647,2.890,180
C24,Top,3.905,1.500,180
C25,Top,4.758,0.728,180
C26,Top,4.032,1.500,0
C27,Top,3.772,1.670,180
C28,Top,5.020,1.843,180
C29,Top,5.000,1.923,0
C30,Top,3.893,1.843,180
C31,Top,4.020,1.843,0
C32,Top,4.875,2.152,270
C33,Top,4.567,2.322,90
C34,Top,3.665,2.845,270
C35,Top,3.705,1.300,90
C36,Top,4.662,1.995,180
C37,Top,4.508,1.522,180
C38,Top,4.508,1.450,180
C39,Top,4.580,1.373,0
C40,Top,4.473,1.823,270
C41,Top,4.350,1.812,0
C42,Top,4.350,1.657,0
C43,Top,4.350,1.502,0
C44,Top,4.350,1.347,0
C45,Top,3.062,2.237,180
C46,Top,2.433,3.462,180
C47,Top,4.933,2.808,0
C48,Top,3.260,2.400,0
C49,Top,2.998,2.822,270
C50,Top,2.428,3.223,180
C51,Top,3.350,1.938,180
C52,Top,2.428,3.095,180
C53,Top,3.200,2.845,270
C54,Top,2.810,3.208,270
C55,Top,2.888,2.825,270
C56,Top,0.555,2.740,0
C57,Top,0.615,2.615,270
C58,Top,1.923,2.655,0
C59,Top,2.127,3.255,0
C60,Top,2.127,3.127,0
C61,Top,0.963,2.615,270
C63,Top,0.555,2.493,0
C64,Top,3.228,3.365,90
C65,Top,3.322,3.297,270
C66,Top,3.400,3.297,270
C67,Top,3.350,3.170,180
C68,Top,2.425,1.980,180
C69,Top,3.013,2.027,90
C70,Top,2.998,1.278,270
C71,Top,2.420,1.740,180
C72,Top,2.420,1.613,180
C73,Top,3.205,1.300,270
C74,Top,2.810,1.663,270
C75,Top,2.885,1.278,270
C76,Top,0.555,1.248,0
C77,Top,0.615,1.123,270
C78,Top,1.923,1.140,0
C79,Top,2.127,1.740,0
C80,Top,2.127,1.613,0
C81,Top,0.963,1.123,270
C83,Top,0.555,0.998,0
C84,Top,3.215,1.820,90
C85,Top,3.317,1.772,270
C86,Top,3.395,1.772,270
C87,Top,3.357,1.645,180
D1,Top,5.725,2.603,90
D2,Top,5.595,2.167,270
D3,Top,3.708,3.192,270
D4,Top,3.788,3.192,270
D5,Top,3.712,3.410,0
D6,Top,2.788,3.328,180
D7,Top,1.840,2.830,90
D8,Top,3.720,2.105,270
D9,Top,3.792,2.105,270
D10,Top,3.710,2.333,0
D11,Top,2.788,1.785,180
D12,Top,1.840,1.315,90
FB1,Top,4.463,1.320,90
FM1,Top,0.610,3.642,0
FM2,Top,6.004,0.098,0
IC1,Top,3.138,0.795,90
IC2,Top,5.702,2.067,90
IC3,Top,3.647,0.795,90
IC4,Top,3.877,0.463,180
IC5,Top,5.478,2.928,0
IC6,Top,3.913,1.670,180
IC7,Top,4.897,0.738,180
IC8,Top,4.737,1.705,270
IC9,Top,4.580,1.265,180
IC10,Top,3.240,2.132,90
