Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "EEZ DIB DCP405 r3B3a.brd" as of: 20.10.2020. 17:06
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,6.650,0.613,180
C2,Top,6.747,1.440,180
C3,Top,6.555,1.440,180
C4,Top,6.178,1.875,0
C5,Top,6.183,2.107,0
C6,Top,6.183,2.235,0
C7,Top,6.183,2.362,0
C7A,Top,6.202,2.465,180
C8,Top,6.225,2.915,270
C9,Top,6.410,3.083,180
C10,Top,6.020,2.877,0
C11,Top,6.195,2.783,180
C12,Top,6.000,3.040,180
C13,Top,6.645,2.410,180
C14,Top,6.645,2.538,180
C15,Top,6.760,2.138,180
C16,Top,6.817,3.328,180
C17,Top,6.645,2.665,180
C18,Top,5.912,3.475,90
C19,Top,6.230,3.310,0
C20,Top,6.230,3.232,0
C21,Top,6.410,3.315,0
C22,Top,5.763,3.272,0
C23,Top,5.915,1.065,270
C24,Top,5.735,1.065,90
C25,Top,5.782,0.245,180
C26,Top,5.782,0.152,180
C27,Top,5.853,0.335,0
C28,Top,5.760,0.600,180
C29,Top,5.603,0.540,270
C30,Top,5.643,1.065,270
C31,Top,6.103,0.210,270
C32,Top,6.005,0.637,0
C33,Top,4.355,0.330,180
C34,Top,4.355,0.540,0
C35,Top,4.867,0.767,270
C36,Top,6.005,0.715,0
C37,Top,5.652,1.585,270
C38,Top,4.902,0.330,180
C39,Top,4.902,0.540,0
C40,Top,5.657,1.340,90
C41,Top,3.655,0.405,270
C42,Top,3.390,1.100,90
C43,Top,3.015,0.912,0
C44,Top,3.050,1.183,90
C45,Top,2.958,0.780,90
C46,Top,3.075,0.818,180
C47,Top,2.547,1.123,0
C48,Top,3.772,1.383,0
C49,Top,4.035,1.867,180
C50,Top,4.020,1.945,0
C51,Top,2.585,0.755,0
C52,Top,3.675,1.103,270
C53,Top,4.035,1.790,180
C54,Top,3.555,1.925,0
C55,Top,3.788,1.310,180
C56,Top,3.555,2.002,0
C57,Top,3.570,1.847,180
C58,Top,2.873,1.040,180
C59,Top,3.390,1.240,90
C60,Top,4.022,1.292,90
C61,Top,3.610,1.357,0
C62,Top,3.788,1.077,0
C64,Top,4.669,2.491,90
C65,Top,5.178,1.823,270
C66,Top,4.190,0.810,90
C67,Top,5.702,2.490,270
C68,Top,4.020,0.965,0
C69,Top,3.498,0.895,90
C70,Top,3.785,0.840,270
C71,Top,3.425,0.880,270
C72,Top,3.335,0.777,0
C73,Top,3.180,1.353,0
C74,Top,4.360,0.895,0
C75,Top,4.360,1.050,0
C76,Top,4.360,1.205,180
C77,Top,4.360,0.740,0
C78,Top,4.755,0.810,90
C79,Top,4.683,0.800,90
C80,Top,4.555,0.812,0
C81,Top,4.540,0.740,0
C82,Top,4.473,1.045,270
C83,Top,2.560,1.752,90
C84,Top,2.705,1.700,0
C85,Top,4.350,2.165,270
C86,Top,4.265,2.462,270
C87,Top,4.555,1.788,90
C88,Top,1.103,2.672,180
C89,Top,1.262,1.298,270
C90,Top,1.492,1.210,270
C91,Top,0.975,1.280,180
C92,Top,0.975,1.163,0
C93,Top,0.905,2.672,180
D1,Top,5.780,2.190,270
D2,Top,5.780,1.895,270
D3,Top,5.548,3.395,270
D4,Top,6.008,0.968,90
D5,Top,5.878,0.532,270
D6,Top,5.577,1.555,270
D7,Top,5.577,1.317,90
D8,Top,5.282,3.255,180
D9,Top,2.035,3.480,90
D10,Top,2.110,3.478,90
D11,Top,3.362,1.788,90
D12,Top,3.348,3.583,180
D13,Top,3.433,1.788,90
D14,Top,3.025,2.522,270
D15,Top,4.495,2.450,90
D16,Top,4.423,2.450,90
D17,Top,1.615,1.835,0
D18,Top,1.610,1.762,0
D19,Top,1.067,2.164,270
FB1,Top,5.440,1.393,180
FB2,Top,5.475,1.550,180
FB3,Top,5.475,1.470,180
FM1,Top,0.591,3.642,0
FM2,Top,6.988,0.472,0
FM3,Top,0.138,0.472,0
