Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "EEZ DIB DCP405 r2B11.brd" as of: 29.1.2020. 15:15
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,6.452,0.507,0
C2,Top,6.830,2.197,90
C3,Top,6.247,1.018,270
C4,Top,6.247,0.825,270
C5,Top,6.558,2.220,90
C6,Top,6.430,2.220,90
C7,Top,6.355,1.663,270
C8,Top,6.505,1.857,180
C9,Top,6.470,1.417,90
C10,Top,6.463,2.640,270
C11,Top,6.745,3.002,0
C12,Top,6.157,2.490,0
C13,Top,5.940,3.478,90
C14,Top,5.723,3.493,90
C15,Top,6.590,2.640,270
C16,Top,6.745,3.430,0
C17,Top,6.620,1.417,270
C18,Top,6.697,1.417,270
C19,Top,6.942,1.385,270
C20,Top,5.915,1.065,270
C21,Top,5.735,1.065,90
C22,Top,5.782,0.245,180
C23,Top,5.782,0.152,180
C24,Top,5.853,0.335,0
C25,Top,5.760,0.600,180
C26,Top,5.603,0.540,270
C27,Top,5.643,1.065,270
C28,Top,6.103,0.210,270
C29,Top,6.005,0.637,0
C30,Top,4.355,0.330,180
C31,Top,4.355,0.540,0
C32,Top,4.867,0.767,270
C33,Top,6.005,0.715,0
C34,Top,5.652,1.570,270
C35,Top,4.902,0.330,180
C36,Top,4.902,0.540,0
C37,Top,5.657,1.340,90
C38,Top,3.655,0.405,270
C39,Top,3.268,1.097,0
C40,Top,1.853,3.440,180
C41,Top,3.027,0.912,0
C42,Top,2.993,1.183,90
C43,Top,2.578,0.890,270
C44,Top,3.078,0.757,180
C45,Top,3.167,3.482,270
C46,Top,2.960,0.795,270
C47,Top,2.382,1.083,0
C48,Top,3.672,0.725,270
C49,Top,3.583,2.388,0
C50,Top,3.598,2.310,180
C51,Top,2.598,0.755,0
C52,Top,3.252,0.812,0
C53,Top,3.583,2.465,0
C54,Top,4.065,2.330,180
C55,Top,3.600,0.710,90
C56,Top,4.065,2.253,180
C57,Top,4.050,2.408,0
C58,Top,2.885,1.040,180
C59,Top,3.408,1.097,0
C60,Top,3.522,0.865,270
C61,Top,3.368,0.710,90
C62,Top,4.058,1.347,0
C63,Top,5.268,2.357,90
C64,Top,4.340,2.495,90
C65,Top,4.669,2.491,90
C66,Top,5.178,1.823,270
C67,Top,4.190,0.810,90
C68,Top,5.598,2.777,90
C69,Top,4.020,0.965,0
C70,Top,3.785,1.195,90
C71,Top,3.785,0.835,270
C72,Top,3.712,1.180,270
C73,Top,3.632,1.180,270
C74,Top,2.998,1.353,0
C75,Top,4.360,0.895,0
C76,Top,4.360,1.050,0
C77,Top,4.415,1.205,180
C78,Top,4.360,0.740,0
C79,Top,4.755,0.810,90
C80,Top,4.683,0.800,90
C81,Top,4.555,0.812,0
C82,Top,4.540,0.740,0
C83,Top,4.473,1.045,270
C84,Top,2.837,1.857,0
C85,Top,2.822,1.785,180
C86,Top,2.665,1.850,0
C87,Top,2.665,1.617,0
C88,Top,4.350,2.165,270
C89,Top,4.555,1.788,90
C90,Top,1.103,2.672,180
C91,Top,1.262,1.125,270
C92,Top,1.492,1.038,270
C93,Top,1.087,1.280,180
C95,Top,0.705,1.205,270
C96,Top,0.627,1.205,270
C97,Top,1.087,1.163,0
C98,Top,0.905,2.672,180
D1,Top,6.640,1.760,270
D2,Top,6.013,2.308,90
D3,Top,6.900,1.505,0
D4,Top,6.008,0.968,90
D5,Top,5.878,0.532,270
D6,Top,5.577,1.540,270
D7,Top,5.577,1.317,90
D8,Top,5.195,3.315,180
D9,Top,1.975,3.510,90
D10,Top,2.050,3.507,90
D11,Top,3.260,3.643,180
D12,Top,3.447,1.770,90
D13,Top,3.518,1.770,90
D14,Top,3.152,2.485,180
D15,Top,4.420,2.482,90
D16,Top,4.492,2.482,90
D17,Top,4.610,1.282,0
D18,Top,1.708,1.920,270
D19,Top,1.637,1.920,90
D20,Top,0.970,2.246,270
FB1,Top,5.440,1.393,180
FB2,Top,5.475,1.550,180
FB3,Top,5.475,1.470,180
FM1,Top,0.591,3.642,0
FM2,Top,6.988,0.531,0
FM3,Top,0.197,0.531,0
IC1,Top,6.505,1.677,90
IC2,Top,5.985,0.432,90
IC3,Top,4.625,0.435,90
IC4,Top,4.955,0.733,90
IC5,Top,5.843,1.535,0
IC6,Top,5.843,1.315,0
IC7,Top,5.170,0.435,90
IC8,Top,3.853,0.445,180
IC9,Top,2.768,0.895,180
IC10,Top,3.333,0.955,180
IC11,Top,3.822,2.328,180
IC12,Top,4.760,2.479,90
IC13,Top,5.125,2.083,90
IC14,Top,3.980,0.807,180
IC15,Top,5.495,2.775,270
IC16,Top,3.775,1.045,0
IC17,Top,2.845,1.340,0
IC18,Top,4.628,1.040,270
IC19,Top,4.480,2.010,90
IC20,Top,2.895,1.637,0
IC21,Top,4.067,1.255,180
I_SET,Top,3.558,1.030,270
JP1,Bottom,5.188,2.225,180
JP2,Top,2.840,1.185,270
JP3,Top,2.263,1.120,90
JP4,Top,2.345,0.810,90
K1,Top,0.720,2.151,180
L2,Top,6.112,2.882,90
L3,Top,6.305,3.538,180
OE,Top,4.855,2.022,90
Q1,Top,6.013,1.965,90
Q2,Top,6.815,1.395,90
Q6,Top,2.670,3.562,0
Q7,Top,1.857,3.555,90
Q8,Top,3.538,3.515,0
Q9,Top,3.167,3.300,180
Q10,Top,3.308,2.277,90
Q11,Top,3.308,2.047,90
Q12,Top,4.930,2.462,270
Q13,Top,1.573,2.978,0
Q14,Top,1.910,1.958,0
Q15,Top,5.107,2.560,270
Q16,Top,5.245,2.562,270
Q17,Top,3.237,1.647,0
Q18,Top,2.040,2.810,90
Q19,Top,1.113,3.105,0
Q20,Top,1.103,2.467,0
Q21,Top,0.735,2.805,180
Q22,Top,0.905,2.470,180
Q23,Top,1.016,2.078,180
Q27,Top,3.132,1.312,270
R1,Top,6.375,0.365,0
R2,Top,6.718,1.760,90
R3,Top,6.492,1.992,180
R4,Top,6.305,3.333,180
R5,Top,6.332,2.490,180
R6,Top,6.865,1.630,270
R7,Top,6.942,1.630,270
R8,Top,6.697,1.573,90
R9,Top,6.775,1.573,270
R10,Top,6.957,1.837,90
R11,Top,6.543,1.417,270
R12,Top,5.825,1.065,90
R13,Top,5.947,0.210,90
R14,Top,5.553,1.065,270
R15,Top,5.723,0.465,90
R16,Top,6.025,0.210,90
R17,Top,5.345,2.357,270
R18,Top,6.122,0.830,90
R19,Top,6.103,0.365,270
R20,Top,6.122,0.675,270
R21,Top,6.103,0.520,90
R22,Top,4.100,0.512,180
R23,Top,4.100,0.435,180
R24,Top,4.100,0.357,180
R25,Top,5.143,3.600,180
R26,Top,5.143,3.442,180
R27,Top,2.825,2.473,0
R28,Top,2.250,3.572,180
R29,Top,2.342,3.200,270
R30,Top,2.250,3.495,0
R31,Top,3.283,1.248,180
R32,Top,2.670,2.473,0
R33,Top,3.922,3.615,0
R34,Top,3.942,3.445,0
R35,Top,3.942,3.533,0
R36,Top,2.405,3.650,180
R37,Top,3.283,1.170,0
R38,Top,2.405,3.572,180
R39,Top,2.405,3.495,180
R40,Top,3.618,1.768,270
R41,Top,2.715,1.045,180
R42,Top,1.853,3.362,180
R43,Top,3.275,3.482,90
R44,Top,3.027,0.990,180
R45,Top,2.382,1.005,180
R46,Top,2.382,0.927,180
R47,Top,3.027,1.067,180
R48,Top,2.917,1.185,270
R49,Top,3.050,3.547,90
R50,Top,2.500,0.890,90
R51,Top,3.078,0.835,0
R52,Top,2.828,0.740,0
R53,Top,2.715,1.123,0
R54,Top,3.337,3.265,0
R55,Top,3.337,3.342,180
R56,Top,3.600,0.865,90
R57,Top,3.678,0.865,270
R58,Top,3.667,2.183,0
R59,Top,3.785,2.138,90
R60,Top,3.382,2.433,0
R61,Top,3.535,2.150,270
R62,Top,4.245,1.282,0
R63,Top,3.522,0.710,90
R64,Top,3.902,2.482,180
R65,Top,3.382,2.510,0
R66,Top,3.445,0.710,90
R67,Top,3.757,1.972,180
R68,Top,3.862,2.138,90
R69,Top,5.190,2.357,270
R70,Top,4.263,2.495,270
R71,Top,4.575,2.495,90
R72,Top,4.942,2.583,0
R73,Top,0.492,1.241,90
R74,Top,2.120,3.348,270
R75,Top,0.465,2.737,270
R76,Top,0.465,2.583,270
R77,Top,4.360,0.973,0
R78,Top,4.360,1.127,0
R79,Top,0.490,2.993,180
R80,Top,4.360,0.818,0
R81,Top,4.415,1.282,0
R82,Top,4.798,1.105,270
R83,Top,2.665,1.772,0
R84,Top,4.713,2.118,270
R85,Top,1.792,1.958,270
R86,Top,4.405,1.775,90
R87,Top,3.100,1.613,270
R88,Top,4.635,2.118,90
R89,Top,2.665,1.695,180
R90,Top,0.490,3.070,0
R91,Top,3.018,1.830,270
R92,Top,0.490,3.147,180
R94,Top,4.327,1.775,270
R95,Top,2.665,1.540,0
R96,Top,3.095,1.830,90
R97,Top,1.905,1.802,0
R98,Top,4.713,1.962,90
R99,Top,4.485,2.208,0
R100,Top,4.635,1.962,270
R101,Top,1.992,2.967,180
R102,Top,1.113,2.900,0
R103,Top,1.113,2.978,180
R104,Top,1.103,2.595,0
R105,Top,0.703,2.515,0
R106,Top,0.703,2.592,0
R107,Top,0.825,3.087,90
R108,Top,0.905,2.750,0
R109,Top,1.262,0.950,90
R110,Top,0.703,2.438,180
R111,Top,0.905,2.828,180
R112,Top,0.905,2.595,0
R113,Top,1.052,2.250,90
R114,Top,1.147,2.078,270
R115,Top,3.748,2.482,180
R116,Top,4.245,1.205,0
R118,Top,3.067,1.183,270
RN1,Top,4.970,0.965,0
RN2,Top,5.117,0.738,0
SH1,Top,6.473,3.357,270
SH2,Top,6.867,3.422,0
SH3,Top,6.895,3.000,270
TR1,Top,5.720,0.802,270
U_SET,Top,3.558,1.140,90
ZD1,Top,6.140,1.623,270
ZD2,Top,2.205,3.350,90
ZD3,Top,0.583,2.808,180
ZD4,Top,1.123,2.815,180
ZD5,Top,1.492,1.343,0
