Partlist exported from /home/denis/BACKUP/EEZ/PCB/Programmable PSU/DIB/EEZ DIB DCP505 r1B2.sch at 7.1.2019. 09:03

Assembly variant: ''

Qty Value                             Device                    Parts                                                                                                                                                                                   
2                                     SHORTNOHOLE               SH1, SH2                                                                                                                                                                                
1   0R1                               R-EU_R1206                R62                                                                                                                                                                                     
2   0R010                             R-EU_4WIREH2728           R63, R73                                                                                                                                                                                
15  1K                                R-EU_R0805                R10, R23, R44, R47, R48, R49, R68, R76, R78, R82, R86, R109, R114, R122, R127                                                                                                           
3   1K 0.1%                           R-EU_R0603                R65, R66, R67                                                                                                                                                                           
1   1K8                               R-EU_R0805                R35                                                                                                                                                                                     
4   1N5819HW-7-F                      DIODE-SOD323-W            D1, D2, D3, D4                                                                                                                                                                          
2   1R                                R-EU_R0805                R61, R131                                                                                                                                                                               
2   1n                                C-EUC0603                 C66, C68                                                                                                                                                                                
2   1n                                C-EUC0805                 C32, C35                                                                                                                                                                                
5   1u                                C-EUC0805                 C47, C51, C59, C61, C63                                                                                                                                                                 
1   1u/100V                           C-EUC1206                 C21                                                                                                                                                                                     
8   2K2                               R-EU_R0805                R15, R16, R27, R42, R56, R57, R111, R128                                                                                                                                                
7   2N7002                            2N7002                    Q14, Q15, Q18, Q21, Q23, Q24, Q31                                                                                                                                                       
5   2n2                               C-EUC0805                 C24, C25, C26, C29, C71                                                                                                                                                                 
3   3K 0.1%                           R-EU_R0603                R52, R55, R58                                                                                                                                                                           
2   3R9/2W                            R-EU_R2512                R11, R12                                                                                                                                                                                
4   3n3                               C-EUC0805                 C53, C54, C56, C57                                                                                                                                                                      
2   4u7                               ECAP1206                  C5, C50                                                                                                                                                                                 
3   5K1                               R-EU_R0805                R5, R104, R118                                                                                                                                                                          
3   5K6                               R-EU_R0805                R2, R106, R120                                                                                                                                                                          
1   6R8                               R-EU_R0805                R116                                                                                                                                                                                    
2   7K5 0.1%                          R-EU_R0805                R24, R37                                                                                                                                                                                
1   7M5                               R-EU_R0805                R51                                                                                                                                                                                     
36  10K                               R-EU_R0805                R6, R7, R8, R9, R14, R25, R33, R36, R40, R43, R45, R46, R53, R60, R64, R71, R72, R74, R77, R79, R80, R83, R84, R85, R87, R93, R101, R102, R113, R115, R117, R119, R121, R129, R130, R135
1   10R                               R-EU_R0805                R100                                                                                                                                                                                    
2   10n                               C-EUC0603                 C43, C44                                                                                                                                                                                
4   10n                               C-EUC0805                 C23, C55, C69, C75                                                                                                                                                                      
2   10n/500V                          C-EUC1206                 C70, C74                                                                                                                                                                                
3   10u                               C-EUC1206                 C3, C10, C48                                                                                                                                                                            
2   16K                               R-EU_R0805                R4, R18                                                                                                                                                                                 
1   22-05-7085                        SPOX_22-05-7095           X2                                                                                                                                                                                      
2   24K 0.1%                          R-EU_R0805                R30, R39                                                                                                                                                                                
1   30K                               R-EU_R0805                R50                                                                                                                                                                                     
1   39-30-3035                        MINIFIT_6659-3            X3                                                                                                                                                                                      
2   40K2 0.1%                         R-EU_R0603                R54, R69                                                                                                                                                                                
5   47K                               R-EU_R0805                R90, R105, R124, R125, R133                                                                                                                                                             
1   47n                               C-EUC0805                 C1                                                                                                                                                                                      
5   47n                               C-EUC1206                 C2, C9, C13, C18, C19                                                                                                                                                                   
2   47p                               C-EUC0805                 C22, C28                                                                                                                                                                                
1   50SVPF18M                         ECAPSMD8.3MM/HA0          C73                                                                                                                                                                                     
1   51K                               R-EU_R0805                R31                                                                                                                                                                                     
1   74AUP1G74DC.125                   SN74LVC1G74DCTR-VSSOP     IC14                                                                                                                                                                                    
1   74HC4066PW                        74HC4066PW                IC13                                                                                                                                                                                    
1   82K                               R-EU_R0805                R3                                                                                                                                                                                      
4   100K                              R-EU_R0805                R1, R88, R91, R137                                                                                                                                                                      
3   100R                              R-EU_R0805                R22, R75, R81                                                                                                                                                                           
31  100n                              C-EUC0603                 C4, C6, C7, C8, C12, C14, C15, C16, C17, C20, C30, C31, C33, C34, C36, C37, C38, C39, C40, C41, C42, C45, C46, C49, C52, C58, C60, C62, C64, C65, C67                                   
2   130K 0.1%                         R-EU_R0805                R29, R38                                                                                                                                                                                
10  220R                              R-EU_R0805                R17, R19, R20, R26, R32, R41, R94, R95, R98, R99                                                                                                                                        
1   220p                              C-EUC0805                 C27                                                                                                                                                                                     
5   270R                              R-EU_R0805                R89, R92, R107, R112, R136                                                                                                                                                              
2   330R                              R-EU_R0805                R123, R134                                                                                                                                                                              
5   470R                              R-EU_R0805                R21, R34, R96, R97, R103                                                                                                                                                                
1   470n                              C-EUC0805                 C11                                                                                                                                                                                     
1   470n                              C-EUC1206                 C72                                                                                                                                                                                     
2   499K 0.1%                         R-EU_R0603                R59, R70                                                                                                                                                                                
5   750R                              R-EU_R0805                R13, R28, R108, R126, R132                                                                                                                                                              
1   1844249                           MC1,5/5-G-3,5             X4                                                                                                                                                                                      
1   AC01000001007JA100                R-EU_0411/15              R110                                                                                                                                                                                    
1   ADS1120IPWR                       ADS1120TSSOP-16           IC19                                                                                                                                                                                    
1   AT24C02D-SSHM-T                   AT24CXXSOIC8              IC6                                                                                                                                                                                     
17  BAS316                            DIODESOD323R              D5, D6, D7, D8, D9, D10, D11, D12, D13, D14, D16, D17, D18, D19, D21, D22, D23                                                                                                          
1   BC856C                            BC857C-PNP-SOT23-BEC      Q3                                                                                                                                                                                      
3   BCP56-16.115                      BCP56                     Q2, Q4, Q6                                                                                                                                                                              
6   BLM18AG102SH1D                    FERRITE_BEAD0603          FB1, FB2, FB3, FB4, FB5, FB8                                                                                                                                                            
2   BLM41PG600SN1L                    L-EUL1812                 FB6, FB7                                                                                                                                                                                
1   BSS84P                            IRLML2246TRPBF            Q30                                                                                                                                                                                     
1   BTA26-600                         BTA41-2                   Q20                                                                                                                                                                                     
1   BZX384-C15                        ZENER-DIODESOD323         ZD1                                                                                                                                                                                     
1   DAC8552IDGKTG4                    DAC8552_DGK_8M            IC17                                                                                                                                                                                    
2   DR1206-33R-4/8                    R_ARRAY4                  RN1, RN2                                                                                                                                                                                
1   FCR7350B                          BINDING_POSTCLIFF         J2                                                                                                                                                                                      
1   FCR7350R                          BINDING_POSTCLIFF         J1                                                                                                                                                                                      
2   FIDUCIAL_2                        FIDUCIAL_2                FM1, FM2                                                                                                                                                                                
1   G6K-2F-5DC                        G6K-2F                    K1                                                                                                                                                                                      
1   IRFP250N                          IRFP240MIRROR2            Q1                                                                                                                                                                                      
1   IRLML2246TRPBF                    IRLML2246TRPBF            Q19                                                                                                                                                                                     
1   JP2-CUT                           JP2-CUT                   JP3                                                                                                                                                                                     
3   JP3-CUT                           JP3-CUT                   JP1, JP2, JP4                                                                                                                                                                           
1   L-42WUM-1EGWT                     LED_L-42WUM/1EGWT         LED1                                                                                                                                                                                    
1   L-934EB/1Y1ID-RV                  LED_L-934EB/1Y1ID-RV      LED3                                                                                                                                                                                    
1   L-934EB/2ID                       LED_L-934EB/2ID           LED2                                                                                                                                                                                    
1   LM211PWR                          LM211                     IC21                                                                                                                                                                                    
1   LM339D                            LM339SO14                 IC20                                                                                                                                                                                    
1   LP2951                            LP2951SO8                 IC1                                                                                                                                                                                     
1   MC79L05                           MC79LXXSOIC               IC4                                                                                                                                                                                     
1   MC33272ADR2G                      TL072SOIC8                IC11                                                                                                                                                                                    
1   MC33274ADR2G                      TL072SOIC8                IC9                                                                                                                                                                                     
1   MC33274ADR2G                      TL074SOIC14               IC12                                                                                                                                                                                    
1   MCP23S17-E/SS                     MCP23S17-E/SSSSOP         IC15                                                                                                                                                                                    
5   MMBT5401                          BC857B-PNP-SOT23-BEC      Q7, Q8, Q16, Q17, Q27                                                                                                                                                                   
7   MMBT5551                          MMBT5551LT1-NPN-SOT23-BEC Q9, Q10, Q22, Q25, Q26, Q28, Q29                                                                                                                                                        
1   OPA4197IDR                        TL074SOIC14               IC10                                                                                                                                                                                    
1   OSY5LU3E34X-3F1A                  LEDOSG8                   LED4                                                                                                                                                                                    
2   PCB-MB                            PCB-MB                    KK1, KK2                                                                                                                                                                                
1   PDZ6.2B                           ZENER-DIODESOD323         ZD2                                                                                                                                                                                     
3   PSMN0R9-25YLC                     N-MOSFETLFPAK             Q11, Q12, Q13                                                                                                                                                                           
1   REF5025AIDG4                      REF50XX                   IC16                                                                                                                                                                                    
2   SI8641AB-B-IS1                    SI8641NSOIC-16            IC2, IC5                                                                                                                                                                                
1   SK55                              SCHOTTKYSMB               D15                                                                                                                                                                                     
1   SK10100D1-DIO                     SCHOTTKY-DUAL_A_L         D20                                                                                                                                                                                     
1   SLVU2.8-TP                        SLVU2.8                   ZD3                                                                                                                                                                                     
1   SN74LVC1G139DCUR                  SN74LVC1G139-VSSOP        IC3                                                                                                                                                                                     
1   SN74LVC1G3157                     SN74LVC1G3157-DCK         IC18                                                                                                                                                                                    
1   STF10P6F6 or IRF9Z24 or FQPF27P06 P-MOSFETMIRROR2           Q5                                                                                                                                                                                      
1   TL072D                            TL072SOIC8                IC8                                                                                                                                                                                     
1   TMP1075AIDGK                      TMPX75DGK                 IC7                                                                                                                                                                                     
2   ZH32/7A                           ZH32                      F1, F2                                                                                                                                                                                  
1   ZL263-20DG                        SSW-110-02-T-D-RA         X5                                                                                                                                                                                      
1   ZL263-26DG                        SSW-113-02-T-D-RA         X1                                                                                                                                                                                      
