References,Qty,Description,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Digikey,Mouser,RS,Newark,Farnell
B1,1,DS1092-10-W6L,,732-12325-1-ND,,79527141,,DS1092-10-W6L,,,,,,,
"C1, C14",2,EEEFK1V220R,,EEEFK1V220R,,,,,,,,,,,
"C10, C12",2,18p,,VJ0603A180JXACW1BC,,1276-1089-1-ND,,C0603C180J5GACTU,,CL10C180JB8NNNC,,,,,
"C11, C13",2,4p7,,MC0603N4R7C500CT,,311-1740-1-ND,,C0603C479C5GACTU,,CL10C4R7CB8NNNC,,,,,
"C2, C31, C32, C37, C38, C53",6,2u2,,GRM21BR71C225KA12L,,1276-2954-1-ND,,CL21B225KAFNNNF,,CL21B225KOFNNNG,,,,,
"C24, C34, C35, C51, C58",5,1u,,885012207078,,1276-1066-1-ND,,08052R104K8BB,,VJ0805Y105KXXTW1BC,,,,,
"C3, C5, C7, C8",4,10n,,VJ0805Y103JXXPW1BC,,490-7194-1-ND,,08055C103KAT2A,,CC0805KRX7R9103,,,,,
"C4, C6, C9, C15, C16, C17, C18, C19, C20, C21, C22, C23, C25, C26, C27, C28, C29, C30, C33, C36, C40, C42, C43, C44, C45, C46, C47, C48, C55, C57, C60, C61, C62, C63, C64, C65, C67, C68, C69, C70",40,100n,,C0603C104K4RAC7081,,490-4774-1-ND,,C0603C104K4RACTU,,CL10B104KA8NNNC,,,,,
"C41, C50, C56",3,4u7,,C3216X7R1E475K160AC,,1276-2970-1-ND,,C1206C475K3RACTU,,GCM31CR71E475KA55L,,,,,
C52,1,4u7/6.3V,,T491A475K006AT,,399-9717-1-ND,,T491A475K006AT,,T491A475K006AT,,,,,
C54,1,4n7/1kV,,885342211001,,732-12143-1-ND,,1812GC472KAT2A,,1812B472K202CT,,,,,
C66,1,10u,,T491A106K006AT,,399-3683-1-ND,,F930J106MA,,T491A106K006AT,,,,,
