Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "EEZ DIB MCU r2B4.brd" as of: 29.1.2020. 15:16
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,0.226,2.391,90
C2,Top,1.286,0.567,180
C3,Top,4.040,0.705,270
C4,Top,4.631,0.374,0
C5,Top,1.188,0.688,270
C6,Top,3.937,0.706,90
C7,Top,4.272,0.705,270
C8,Top,2.083,2.128,180
C9,Top,2.105,2.230,180
C10,Top,2.575,2.636,0
C11,Top,1.978,2.230,0
C12,Top,2.575,2.568,0
C13,Top,0.250,0.654,90
C14,Top,0.462,0.632,0
C15,Top,0.716,0.552,90
C16,Top,2.449,2.389,90
C17,Top,2.275,2.208,180
C18,Top,2.090,2.055,180
C19,Top,2.062,1.635,225
C20,Top,2.211,1.461,180
C21,Top,2.345,1.345,225
C22,Top,3.669,1.834,0
C23,Top,3.217,1.440,270
C24,Top,3.290,1.425,270
C25,Top,2.673,2.606,90
C26,Top,2.504,1.152,225
C27,Top,3.009,1.231,0
C28,Top,3.487,1.740,0
C29,Top,3.481,1.946,0
C30,Top,3.154,2.272,0
C31,Top,2.910,2.501,90
C32,Top,3.309,2.108,0
C33,Top,3.320,2.186,0
C34,Top,1.796,2.051,180
C35,Top,1.907,2.025,270
C36,Top,3.502,1.667,0
C37,Top,2.418,1.169,225
C38,Top,3.914,2.618,0
C39,Top,2.152,0.081,180
C40,Top,4.258,1.966,0
C41,Top,1.669,1.514,0
C42,Top,1.667,1.720,0
C43,Top,1.668,1.883,0
C44,Top,1.667,2.288,0
C45,Top,1.033,1.848,90
C46,Top,1.033,1.675,90
C47,Top,1.533,0.983,90
C48,Top,1.812,0.755,90
C49,Top,3.506,0.590,0
C50,Top,1.905,0.756,90
C51,Top,2.862,0.469,90
C52,Top,3.150,0.441,180
C53,Top,4.145,1.142,0
C54,Top,2.707,0.808,180
C55,Top,2.998,0.894,180
C56,Top,3.013,0.967,180
C57,Top,0.514,1.792,180
C58,Top,0.541,1.642,270
C59,Top,0.470,1.870,0
C60,Top,0.763,1.642,270
C61,Top,0.805,1.863,180
C62,Top,0.551,1.014,270
C63,Top,0.319,1.583,90
C64,Top,0.273,1.244,270
C65,Top,0.269,1.375,180
C66,Top,0.269,1.443,180
C67,Top,0.465,1.014,270
C68,Top,0.856,1.234,0
D1,Top,0.035,1.288,0
D2,Top,1.732,0.770,90
FB1,Top,1.831,1.947,90
FB2,Top,0.251,1.573,270
FM1,Top,0.118,2.657,0
FM2,Top,4.449,2.657,0
FM3,Top,0.138,0.118,0
FM4,Top,5.157,0.531,0
IC1,Top,1.294,0.491,0
IC2,Top,1.337,0.828,90
IC3,Top,2.737,1.823,315
IC4,Top,0.524,0.327,180
IC5,Top,3.785,2.614,0
IC6,Top,1.343,1.877,180
IC7,Top,4.164,1.821,0
IC8,Top,3.509,0.474,0
IC9,Top,1.713,0.952,90
IC10,Top,3.032,0.415,0
IC11,Top,2.639,0.734,0
IC12,Top,2.991,0.745,0
IC13,Top,0.626,1.847,180
IC14,Top,0.556,1.304,225
J1,Bottom,1.969,0.559,180
J2,Top,3.012,0.039,90
JP1,Top,0.227,2.151,90
JP2,Top,3.668,1.748,0
JP3,Top,2.787,2.646,180
JP4,Top,2.787,2.553,180
JP5,Top,3.341,2.519,270
JP6,Top,2.010,0.333,0
JP7,Top,2.811,0.918,90
JP8,Top,4.153,1.037,0
JP9,Top,0.674,0.859,270
JP10,Top,0.751,0.859,270
JP11,Top,0.597,0.859,90
JP12,Top,0.831,0.859,270
JP13,Top,0.847,1.601,270
L1,Top,1.588,0.762,90
LCD1,Top,2.251,0.540,0
Q1,Top,3.379,0.288,270
Q2,Top,3.811,1.528,0
R1,Top,3.781,0.706,270
R2,Top,3.859,0.706,270
R3,Top,0.974,0.565,90
R4,Top,0.974,0.720,90
R5,Top,1.254,1.066,0
R6,Top,4.117,0.705,270
R7,Top,1.079,0.565,90
R8,Top,1.079,0.720,90
R9,Top,1.254,1.143,0
R10,Top,4.195,0.705,270
R11,Top,1.927,2.128,0
R12,Top,1.983,1.659,45
R13,Top,2.982,2.485,270
R14,Top,3.228,2.470,270
R15,Top,3.151,2.470,270
R16,Top,3.073,2.470,270
R17,Top,1.988,2.012,270
R18,Top,3.333,2.396,90
R19,Top,3.502,1.590,0
R20,Top,3.457,2.027,0
R21,Top,2.651,0.224,180
R22,Top,2.651,0.301,180
R23,Top,1.619,0.964,90
R24,Top,3.551,0.278,0
R25,Top,1.849,0.920,0
R26,Top,3.376,0.455,90
R27,Top,3.551,0.355,180
R28,Top,3.421,1.428,90
R29,Top,3.498,1.428,90
R30,Top,2.327,0.989,180
R31,Top,0.391,0.923,270
R32,Top,0.392,1.627,270
R33,Top,0.469,1.627,90
R34,Top,0.786,0.769,180
R35,Top,0.159,0.923,90
R36,Top,0.614,1.627,270
R37,Top,0.631,0.769,0
R38,Top,1.278,2.490,90
R39,Top,0.476,0.769,0
R40,Top,0.236,0.923,90
R41,Top,0.692,1.627,90
R42,Top,0.314,0.923,90
R43,Top,1.124,2.491,90
R44,Top,1.047,2.491,90
R45,Top,0.245,1.825,270
R46,Top,0.323,1.825,270
R47,Top,0.212,1.099,0
R48,Top,0.846,1.729,270
RN1,Top,0.744,1.001,90
RN2,Top,0.871,1.131,90
RN3,Top,0.852,1.340,90
RN4,Top,0.851,1.487,90
SCL,Top,3.090,2.687,180
SDA,Top,2.998,2.638,0
SPEED,Top,1.201,2.494,0
SW3,Top,0.827,0.118,180
VBUS,Top,3.551,0.202,90
Y1,Top,2.040,2.370,0
Y2,Top,2.322,2.588,180
ZD1,Top,1.667,0.546,90
